"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"246",81,"Y",0,0.084904,0.0438120501850135,"basico",FALSE
"247",82,"B",0,0.24314,0.0303151027467408,"basico",FALSE
"248",82,"O",0,0.669008,0.0430007603409404,"basico",FALSE
"249",82,"Y",0,0.087852,0.0457141723266992,"basico",FALSE
"250",83,"B",0,0.24342,0.0309978884911391,"basico",FALSE
"251",83,"O",0,0.666278,0.0437381731893251,"basico",FALSE
"252",83,"Y",0,0.090302,0.0478649404179314,"basico",FALSE
"253",84,"B",0,0.243507,0.032074909968618,"basico",FALSE
"254",84,"O",0,0.664091,0.0438290321544517,"basico",FALSE
"255",84,"Y",0,0.092402,0.049709505584491,"basico",FALSE
"256",85,"B",0,0.243664,0.0326964166325006,"basico",FALSE
"257",85,"O",0,0.662141,0.0432123628377366,"basico",FALSE
"258",85,"Y",0,0.094195,0.0509183925710563,"basico",FALSE
"259",86,"B",0,0.243633,0.0338794268940115,"basico",FALSE
"260",86,"O",0,0.659874,0.0428428785968525,"basico",FALSE
"261",86,"Y",0,0.096493,0.0520590481660931,"basico",FALSE
"262",87,"B",0,0.243324,0.0346451510155301,"basico",FALSE
"263",87,"O",0,0.657852,0.0427859943099481,"basico",FALSE
"264",87,"Y",0,0.098824,0.0533032171030544,"basico",FALSE
"265",88,"B",0,0.242871,0.0357718536581684,"basico",FALSE
"266",88,"O",0,0.655443,0.0428256796722941,"basico",FALSE
"267",88,"Y",0,0.101686,0.0550303020658123,"basico",FALSE
"268",89,"B",0,0.242649,0.0371158832155276,"basico",FALSE
"269",89,"O",0,0.653256,0.0424548966135197,"basico",FALSE
"270",89,"Y",0,0.104095,0.0561946461646993,"basico",FALSE
"271",90,"B",0,0.242075,0.0384018343811644,"basico",FALSE
"272",90,"O",0,0.651163,0.0421600070318933,"basico",FALSE
"273",90,"Y",0,0.106762,0.0574229616200011,"basico",FALSE
"274",91,"B",0,0.241616,0.0393310829351098,"basico",FALSE
"275",91,"O",0,0.649274,0.0421453464366189,"basico",FALSE
"276",91,"Y",0,0.10911,0.0586504273323104,"basico",FALSE
"277",92,"B",0,0.241279,0.040748547213367,"basico",FALSE
"278",92,"O",0,0.647374,0.0416092079455808,"basico",FALSE
"279",92,"Y",0,0.111347,0.0597082002980184,"basico",FALSE
"280",93,"B",0,0.240305,0.0418746093001523,"basico",FALSE
"281",93,"O",0,0.645242,0.0417553267151738,"basico",FALSE
"282",93,"Y",0,0.114453,0.0611806324655841,"basico",FALSE
"283",94,"B",0,0.239456,0.0426842442958887,"basico",FALSE
"284",94,"O",0,0.643301,0.0414075543173641,"basico",FALSE
"285",94,"Y",0,0.117243,0.0623575536399528,"basico",FALSE
"286",95,"B",0,0.238365,0.0443910933258764,"basico",FALSE
"287",95,"O",0,0.641754,0.0411451199163314,"basico",FALSE
"288",95,"Y",0,0.119881,0.0633901239718911,"basico",FALSE
"289",96,"B",0,0.237351,0.0459157671803224,"basico",FALSE
"290",96,"O",0,0.639663,0.0408977948949907,"basico",FALSE
"291",96,"Y",0,0.122986,0.0646473667231885,"basico",FALSE
"292",97,"B",0,0.236419,0.0472619279904421,"basico",FALSE
"293",97,"O",0,0.638457,0.0409218848243303,"basico",FALSE
"294",97,"Y",0,0.125124,0.0653981714753802,"basico",FALSE
"295",98,"B",0,0.235595,0.0475591144649148,"basico",FALSE
"296",98,"O",0,0.637279,0.041391884958335,"basico",FALSE
"297",98,"Y",0,0.127126,0.0655448826408595,"basico",FALSE
"298",99,"B",0,0.234817,0.0482437917814774,"basico",FALSE
"299",99,"O",0,0.63586,0.0413344452440862,"basico",FALSE
"300",99,"Y",0,0.129323,0.0661331666282723,"basico",FALSE
"301",100,"B",0,0.233904,0.0494030014219273,"basico",FALSE
"302",100,"O",0,0.635013,0.0416739354993022,"basico",FALSE
"303",100,"Y",0,0.131083,0.0669348983503502,"basico",FALSE
"304",101,"B",0,0.232939,0.0503549961310051,"basico",FALSE
"305",101,"O",0,0.633965,0.0423315374827866,"basico",FALSE
"306",101,"Y",0,0.133096,0.0678730423867111,"basico",FALSE
"307",102,"B",0,0.231831,0.0510572261528595,"basico",FALSE
"308",102,"O",0,0.633098,0.0426338557079377,"basico",FALSE
"309",102,"Y",0,0.135071,0.0684706887004294,"basico",FALSE
"310",103,"B",0,0.230865,0.0524449752530491,"basico",FALSE
"311",103,"O",0,0.632343,0.0428494928956475,"basico",FALSE
"312",103,"Y",0,0.136792,0.0687820664317834,"basico",FALSE
"313",104,"B",0,0.229287,0.053256671522131,"basico",FALSE
"314",104,"O",0,0.631876,0.0424463847671151,"basico",FALSE
"315",104,"Y",0,0.138837,0.0689084118466848,"basico",FALSE
"316",105,"B",0,0.22835,0.0543058742660311,"basico",FALSE
"317",105,"O",0,0.63104,0.0427186685942416,"basico",FALSE
"318",105,"Y",0,0.14061,0.0685716443148362,"basico",FALSE
"319",106,"B",0,0.226928,0.0546171414244076,"basico",FALSE
"320",106,"O",0,0.630235,0.0433004289408852,"basico",FALSE
"321",106,"Y",0,0.142837,0.0684635841491333,"basico",FALSE
"322",107,"B",0,0.225634,0.0546650207069282,"basico",FALSE
"323",107,"O",0,0.629555,0.0447605196145176,"basico",FALSE
"324",107,"Y",0,0.144811,0.0683411523907888,"basico",FALSE
"325",108,"B",0,0.224261,0.0548562932404369,"basico",FALSE
"326",108,"O",0,0.628898,0.0462818942280168,"basico",FALSE
"327",108,"Y",0,0.146841,0.0686078522687403,"basico",FALSE
"328",109,"B",0,0.222593,0.0555653973696624,"basico",FALSE
"329",109,"O",0,0.628312,0.0469481086418879,"basico",FALSE
"330",109,"Y",0,0.149095,0.0695582037729642,"basico",FALSE
"331",110,"B",0,0.221288,0.0561117054713996,"basico",FALSE
"332",110,"O",0,0.627322,0.0478780554949739,"basico",FALSE
"333",110,"Y",0,0.15139,0.0698407589890146,"basico",FALSE
"334",111,"B",0,0.219587,0.0562350975186253,"basico",FALSE
"335",111,"O",0,0.626559,0.0489302659739637,"basico",FALSE
"336",111,"Y",0,0.153854,0.0704447034663689,"basico",FALSE
"337",112,"B",0,0.218544,0.0564787066695999,"basico",FALSE
"338",112,"O",0,0.625666,0.0500646899097315,"basico",FALSE
"339",112,"Y",0,0.15579,0.0712055078167015,"basico",FALSE
"340",113,"B",0,0.216858,0.056699229823925,"basico",FALSE
"341",113,"O",0,0.625186,0.0509040769933554,"basico",FALSE
"342",113,"Y",0,0.157956,0.0716676579494516,"basico",FALSE
"343",114,"B",0,0.215539,0.0568588948026764,"basico",FALSE
"344",114,"O",0,0.625265,0.0512555636300129,"basico",FALSE
"345",114,"Y",0,0.159196,0.0713813402887207,"basico",FALSE
"346",115,"B",0,0.214024,0.0570583665728313,"basico",FALSE
"347",115,"O",0,0.625511,0.0513604471781879,"basico",FALSE
"348",115,"Y",0,0.160465,0.0711533773341829,"basico",FALSE
"349",116,"B",0,0.212854,0.0577232415072214,"basico",FALSE
"350",116,"O",0,0.625497,0.0522524417388964,"basico",FALSE
"351",116,"Y",0,0.161649,0.07072684615241,"basico",FALSE
"352",117,"B",0,0.211127,0.0577003104783062,"basico",FALSE
"353",117,"O",0,0.625823,0.0531548925026634,"basico",FALSE
"354",117,"Y",0,0.16305,0.0707710899429786,"basico",FALSE
"355",118,"B",0,0.209777,0.0578194348071143,"basico",FALSE
"356",118,"O",0,0.625943,0.0541305982571481,"basico",FALSE
"357",118,"Y",0,0.16428,0.0708934725094239,"basico",FALSE
"358",119,"B",0,0.207915,0.0578151921158612,"basico",FALSE
"359",119,"O",0,0.626725,0.0543397028707446,"basico",FALSE
"360",119,"Y",0,0.16536,0.0707953473903562,"basico",FALSE
"361",120,"B",0,0.206372,0.0577061838326297,"basico",FALSE
"362",120,"O",0,0.627295,0.0546335679086058,"basico",FALSE
"363",120,"Y",0,0.166333,0.0710604992704502,"basico",FALSE
"364",121,"B",0,0.205059,0.0576995651384975,"basico",FALSE
"365",121,"O",0,0.627878,0.0549089872866773,"basico",FALSE
"366",121,"Y",0,0.167063,0.0712877745408699,"basico",FALSE
"367",122,"B",0,0.203628,0.0579738970868299,"basico",FALSE
"368",122,"O",0,0.628788,0.0557489417030503,"basico",FALSE
"369",122,"Y",0,0.167584,0.0714472253067983,"basico",FALSE
"370",123,"B",0,0.202357,0.0575429821871434,"basico",FALSE
"371",123,"O",0,0.629448,0.05652458208424,"basico",FALSE
"372",123,"Y",0,0.168195,0.0711791088052037,"basico",FALSE
"373",124,"B",0,0.201308,0.0572728357350264,"basico",FALSE
"374",124,"O",0,0.630181,0.0569021181459438,"basico",FALSE
"375",124,"Y",0,0.168511,0.0707246044581203,"basico",FALSE
"376",125,"B",0,0.200096,0.0570875119815396,"basico",FALSE
"377",125,"O",0,0.63112,0.0571203655591958,"basico",FALSE
"378",125,"Y",0,0.168784,0.0695230747538709,"basico",FALSE
"379",126,"B",0,0.199325,0.0566734583719609,"basico",FALSE
"380",126,"O",0,0.63263,0.0577910997656318,"basico",FALSE
"381",126,"Y",0,0.168045,0.0688976159957584,"basico",FALSE
"382",127,"B",0,0.197817,0.0558447614808093,"basico",FALSE
"383",127,"O",0,0.633994,0.0580621363782636,"basico",FALSE
"384",127,"Y",0,0.168189,0.0679266522051395,"basico",FALSE
"385",128,"B",0,0.196717,0.0553016284762141,"basico",FALSE
